ID,type
11362,9
11363,3
11364,9
11365,9
11366,9
11367,9
11368,3
11369,3
11370,3
11371,3
11372,9
11373,11
11374,9
11375,3
11376,9
11377,3
11378,9
11379,9
11380,9
11381,9
11382,11
11383,13
11384,12
11385,9
11386,5
11387,9
11388,9
11389,9
11390,7
11391,3
11392,12
11393,11
11394,13
11395,11
11396,9
11397,13
11398,13
11399,13
11400,11
11401,12
11402,11
11403,13
11404,13
11405,11
11406,12
11407,13
11408,11
11409,12
11410,13
11411,11
11412,9
11413,9
11414,9
11415,9
11416,9
11417,12
11418,5
11419,
11420,3
11421,9
11422,11
11423,9
11424,9
11425,11
11426,9
11427,11
11428,9
11429,9
11430,11
11431,9
11432,9
11433,11
11434,9
11435,9
11436,9
11437,9
11438,11
11439,13
11440,11
11441,12
11442,11
11443,12
11444,11
11445,11
11446,12
11447,12
11448,9
11449,3
11450,3
11451,9
11452,9
11453,9
11454,9
11455,9
11456,9
11457,9
11458,9
11459,9
11460,9
11461,3
11462,9
11463,9
11464,9
11465,9
11466,12
11467,9
11468,9
11469,9
11470,9
11471,9
11472,11
11473,3
11474,11
11475,11
11476,9
11477,12
11478,9
11479,9
11480,9
11481,9
11482,9
11483,9
11484,7
11485,9
11486,
11487,9
11488,9
11489,7
11490,9
11491,9
11492,
11493,11
11494,12
11495,12
11496,11
11497,13
11498,11
11499,12
11500,11
11501,12
11502,3
11503,3
11504,3
11505,3
11506,3
11507,3
11508,3
11509,3
11510,9
11511,3
11512,9
11513,9
11514,9
11515,9
11516,9
11517,9
11518,9
11519,9
11520,9
11521,9
11522,11
11523,11
11524,3
11525,9
11526,9
11527,9
11528,9
11529,9
11530,3
11531,9
11532,9
11533,9
11534,9
11535,3
11536,9
11537,9
11538,9
11539,9
11540,9
11541,9
11542,11
11543,3
11544,9
11545,9
11546,11
11547,9
11548,9
11549,9
11550,11
11551,9
11552,9
11553,9
11554,9
11555,9
11556,9
11557,9
11558,9
11559,9
11560,10
11561,7
11562,9
11563,9
11564,9
11565,11
11566,12
11567,7
11568,9
11569,9
11570,9
11571,9
11572,9
11573,9
11574,11
11575,13
11576,11
11577,11
11578,12
11579,9
11580,9
11581,3
11582,12
11583,11
11584,12
11585,13
11586,9
11587,9
11588,11
11589,3
11590,3
11591,3
11592,9
11593,3
11594,9
11595,9
11596,9
11597,11
11598,9
11599,9
11600,9
11601,9
11602,12
11603,13
11604,12
11605,12
11606,11
11607,12
11608,12
11609,11
11610,9
11611,12
11612,7
11613,9
11614,3
11615,9
11616,9
11617,12
11618,11
11619,12
11620,9
11621,12
11622,12
11623,9
11624,9
11625,5
11626,3
11627,11
11628,3
11629,3
11630,5
11631,3
11632,12
11633,3
11634,9
11635,9
11636,9
11637,11
11638,5
11639,
11640,11
11641,9
11642,9
11643,13
11644,9
11645,11
11646,11
11647,12
11648,
11649,9
11650,11
11651,11
11652,9
11653,9
11654,11
11655,11
11656,12
11657,9
11658,11
11659,9
11660,9
11661,9
11662,9
11663,11
11664,9
11665,3
11666,3
11667,9
11668,9
11669,9
11670,3
11671,3
11672,9
11673,3
11674,12
11675,9
11676,12
11677,11
11678,11
11679,9
11680,11
11681,12
11682,
11683,9
11684,9
11685,11
11686,9
11687,9
11688,11
11689,11
11690,3
11691,11
11692,9
11693,9
11694,9
11695,12
11696,11
11697,3
11698,12
11699,12
11700,9
11701,9
11702,9
11703,9
11704,9
11705,11
11706,12
11707,9
11708,9
11709,9
11710,3
11711,3
11712,9
11713,3
11714,3
11715,9
11716,7
11717,9
11718,12
11719,12
11720,11
11721,12
11722,3
11723,9
11724,3
11725,12
11726,3
11727,3
11728,12
11729,11
11730,3
11731,3
11732,3
11733,3
11734,12
11735,3
11736,3
11737,12
11738,
11739,9
11740,3
11741,3
11742,12
11743,3
11744,3
11745,12
11746,
11747,9
11748,12
11749,11
11750,12
11751,5
11752,9
11753,9
11754,3
11755,9
11756,9
11757,9
11758,3
11759,3
11760,5
11761,9
11762,9
11763,9
11764,9
11765,9
11766,3
11767,9
11768,3
11769,9
11770,9
11771,
11772,5
11773,11
11774,11
11775,11
11776,11
11777,11
11778,11
11779,11
11780,11
11781,11
11782,11
11783,11
11784,12
11785,3
11786,11
11787,5
11788,11
11789,3
11790,3
11791,3
11792,12
11793,11
11794,9
11795,9
11796,9
11797,9
11798,9
11799,9
11800,11
11801,11
11802,3
11803,9
11804,9
11805,11
11806,3
11807,12
11808,9
11809,7
11810,10
11811,9
11812,7
11813,3
11814,9
11815,9
11816,9
11817,9
11818,9
11819,9
11820,9
11821,3
11822,9
11823,3
11824,3
11825,9
11826,9
11827,9
11828,9
11829,9
11830,9
11831,9
11832,9
11833,9
11834,9
11835,11
11836,9
11837,9
11838,11
11839,9
11840,11
11841,9
11842,9
11843,9
11844,9
11845,9
11846,9
11847,9
11848,9
11849,11
11850,9
11851,11
11852,9
11853,9
11854,9
11855,11
11856,9
11857,9
11858,9
11859,9
11860,10
11861,12
11862,10
11863,10
11864,10
11865,10
11866,10
11867,3
11868,12
11869,10
11870,10
11871,10
11872,10
11873,9
11874,9
11875,9
11876,9
11877,9
11878,9
11879,9
11880,9
11881,12
11882,3
11883,9
11884,12
11885,12
11886,12
11887,7
11888,7
11889,9
11890,7
11891,7
11892,7
11893,7
11894,9
11895,9
11896,9
11897,9
11898,9
11899,9
11900,9
11901,9
11902,9
11903,9
11904,9
11905,11
11906,9
11907,11
11908,11
11909,9
11910,9
11911,7
11912,7
11913,9
11914,7
11915,9
11916,9
11917,11
11918,12
11919,9
11920,9
11921,9
11922,5
11923,5
11924,7
11925,7
11926,10
11927,7
11928,7
11929,7
11930,2
11931,11
11932,7
11933,13
11934,7
