"ID","type"
11362,9
11366,9
11367,9
11368,3
11372,9
11374,9
11375,3
11376,9
11377,3
11378,9
11379,9
11388,9
11389,9
11394,13
11453,9
11483,9
11502,3
11583,11
11595,9
11604,12
11605,12
11606,11
11608,12
11610,9
11611,12
11613,9
11615,9
11616,9
11624,9
11627,11
11645,11
11663,11
11675,9
11681,12
11685,11
11782,11
11783,11
11785,3
11786,11
11789,3
11790,3
11791,3
11793,11
11798,9
11804,9
11805,11
11807,12
11808,9
11809,7
11810,10
11812,7
11814,9
11815,9
11817,9
11818,9
11834,9
11839,9
11840,11
11842,9
11843,9
11845,9
11851,11
11853,9
11864,10
11925,7
11927,7
11928,7
11929,7
11934,7
